Артикул продавца,product_id,Артикул МП,Категория,МП,Юр лицо,date,Дата,Заказы шт,Средний чек 1 заказ (РУБ),Себестоимость 1 шт (РУБ),Себестоимость Тотал (РУБ),Комиссия МП  (РУБ),Хранение МП (РУБ),Логистика МП,Фуллфилмент БЕТА-ПРО (тотал),% выкупа,Рекламные расходы (РУБ),ДРР %,Эквайринг (РУБ),СТОК (ШТ),ПЛАН заказов шт в день,ПЛАН заказов оборот в день,% выполнения ПЛАНа в шт,% выполнения ПЛАНа в руб.,Оборачиваемость (Дни),Тотал заказы (РУБ),Коммерческая маржа (РУБ),Коммерческая маржа %,Cредние продажи в день - за неделю,Клики общие (воронка продаж),Просмотры (реклама),Клики (реклама),"CTR, % (реклама)",Добавления в корзину (реклама),Добавления в корзину (воронка продаж),"CR в корзину, % (формула)","CR в заказ, % (формула)","CR из клика в заказ, % (формула)",Команда
fp1-3,FP1-3,262206398,Сковороды,Wildberries,АТ,,01.10.2024,1,5300.81,2945.71,0,1033.65795,977.0998127,260.8416456,80,1.00,10.93333333,0.0021,38.855,123,34,185878,0.0003,0.0003,123,5300.81,2899.422258,0.5469772089,1,72,72,7,0.3571,0,5,0.0694,0.2000,0.0139,Д+В
tm2-2bk,TM2-2BK,235897252,Зеркала косметические,Wildberries,АТ,,01.10.2024,1,3360,1349.87,0,756,0,210.8416456,80,0.00,0,0.0000,33.24,0,1,2570,0.0100,0.0131,0,3360,2279.918354,0.6785471293,5,104,0,0,0.0000,0,3,0.0288,0.3333,0.0096,М+Н
tm1-1bk,TM1-1BK,201357761,Зеркала косметические,Wildberries,АТ,,01.10.2024,0,0,1247.31,0,0,89.4106836,0,0,0.00,0,0.0000,0,1,22,67166,0.0000,0.0000,1,0,-89.4106836,0,1,196,0,0,0.0000,0,17,0.0867,0.0000,0.0000,М+Н
tm1-2bk,TM1-2BK,235897076,Зеркала косметические,Wildberries,АТ,,01.10.2024,1,4000,1843.4,0,900,358.7318757,260.8416456,80,1.00,0,0.0000,46.17,0,19,72523,0.0005,0.0006,0,4000,2354.256479,0.5885641197,2,246,0,0,0.0000,0,13,0.0528,0.0769,0.0041,М+Н
fp1-2,FP1-2,262199804,Сковороды,Wildberries,АТ,,01.10.2024,4,3800,2195.29,0,2964,1239.1148,893.3665823,320,1.00,986.7683333,0.0649,84.88666667,910,13,50739,0.0031,0.0030,910,15200,8711.863618,0.5731489222,1,133,2437,90,0.1940,2,12,0.0902,0.3333,0.0301,Д+В
tm2-1wt,TM2-1WT,235897077,Зеркала косметические,Wildberries,АТ,,01.10.2024,4,2879.97,1349.87,0,2591.973,236.3473838,880.8665823,320,0.75,0,0.0000,84.88666667,189,13,34125,0.0031,0.0034,95,11519.88,7405.806367,0.6428718326,2,244,0,0,0.0000,0,13,0.0533,0.3077,0.0164,М+Н
drl5-1,DRL5-1,236558991,Прочее,Wildberries,АТ,,01.10.2024,1,2696,1740.51,0,579.64,23.786784,210.8416456,80,0.00,0,0.0000,21.22166667,0,3,8109,0.0033,0.0033,0,2696,1780.509904,0.6604265222,1,159,0,0,0.0000,0,4,0.0252,0.2500,0.0063,Д+В
tm2-2wt,TM2-2WT,235897251,Зеркала косметические,Wildberries,АТ,,01.10.2024,8,3680,1349.87,0,6624,152.736192,1729.733165,640,0.86,0,0.0000,303.78,0,5,15605,0.0160,0.0189,0,29440,19989.75064,0.6789996822,6,526,0,0,0.0000,0,33,0.0627,0.2424,0.0152,М+Н
drl4-1,DRL4-1,236557120,Прочее,Wildberries,АТ,,01.10.2024,3,2545,1549,0,1641.525,33.593616,682.5249367,240,1.00,0,0.0000,63.665,23,4,10692,0.0075,0.0071,0,7635,4973.691447,0.6514330645,0,179,0,0,0.0000,0,10,0.0559,0.3000,0.0168,Д+В
h-gfc1-2,H-GFC1-2,201356036,Контейнеры,Wildberries,АТ,,01.10.2024,4,799.9925,354.81,0,623.99415,174.492675,893.3665823,320,1.00,0,0.0000,35,0,46,34914,0.0009,0.0009,0,3199.97,1153.116593,0.3603523135,1,202,0,0,0.0000,0,16,0.0792,0.2500,0.0198,М+Н
